ngenes	zeros	residual
ENSG00000065154	3125	0	-0.0331832763148396
ENSG00000065183	3125	0	-0.0331832763148396
ENSG00000065268	3125	0	-0.0331832763148396
ENSG00000065308	3125	0	-0.0331832763148396
ENSG00000065328	3125	0	-0.0331832763148396
ENSG00000065427	3125	0	-0.0331832763148396
ENSG00000065518	3125	0	-0.0331832763148396
ENSG00000065526	3125	0	-0.0331832763148396
ENSG00000065548	3125	0	-0.0331832763148396
ENSG00000065613	3125	0.05	-0.0331832763148396
ENSG00000065911	3125	0	-0.0331832763148396
ENSG00000065978	3125	0	-0.0331832763148396
ENSG00000066044	3125	0	-0.0331832763148396
ENSG00000066135	3125	0	-0.0331832763148396
ENSG00000066136	3125	0	-0.0331832763148396
ENSG00000066279	3125	0	-0.0331832763148396
ENSG00000066322	3125	0	-0.0331832763148396
ENSG00000066427	3125	0	-0.0331832763148396
ENSG00000066654	3125	0	-0.0331832763148396
ENSG00000066777	3125	0	-0.0331832763148396
ENSG00000067057	3125	0	-0.0331832763148396
ENSG00000067064	3125	0	-0.0331832763148396
ENSG00000067167	3125	0	-0.0331832763148396
ENSG00000067225	3125	0	-0.0331832763148396
ENSG00000067248	3125	0	-0.0331832763148396
ENSG00000067334	3125	0	-0.0331832763148396
ENSG00000067533	3125	0	-0.0331832763148396
ENSG00000067560	3125	0	-0.0331832763148396
ENSG00000067704	3125	0	-0.0331832763148396
ENSG00000068120	3125	0	-0.0331832763148396
ENSG00000068615	3125	0	-0.0331832763148396
ENSG00000068650	3125	0	-0.0331832763148396
ENSG00000068697	3125	0	-0.0331832763148396
ENSG00000068745	3125	0	-0.0331832763148396
ENSG00000068831	3125	0	-0.0331832763148396
ENSG00000068878	3125	0	-0.0331832763148396
ENSG00000069275	3125	0	-0.0331832763148396
ENSG00000069329	3125	0	-0.0331832763148396
ENSG00000069345	3125	0	-0.0331832763148396
ENSG00000069849	3125	0	-0.0331832763148396
ENSG00000069998	3125	0	-0.0331832763148396
ENSG00000070010	3125	0	-0.0331832763148396
ENSG00000070061	3125	0.05	-0.0331832763148396
ENSG00000070087	3125	0	-0.0331832763148396
ENSG00000070367	3125	0	-0.0331832763148396
ENSG00000070423	3125	0	-0.0331832763148396
ENSG00000070495	3125	0	-0.0331832763148396
ENSG00000070614	3125	0	-0.0331832763148396
ENSG00000070756	3125	0	-0.0331832763148396
ENSG00000070761	3125	0	-0.0331832763148396
ENSG00000070770	3125	0	-0.0331832763148396
ENSG00000070785	3125	0	-0.0331832763148396
ENSG00000070814	3125	0	-0.0331832763148396
ENSG00000070831	3125	0	-0.0331832763148396
ENSG00000070961	3125	0	-0.0331832763148396
ENSG00000071082	3125	0	-0.0331832763148396
ENSG00000071127	3125	0	-0.0331832763148396
ENSG00000071462	3125	0	-0.0331832763148396
ENSG00000071539	3125	0	-0.0331832763148396
ENSG00000071655	3125	0	-0.0331832763148396
ENSG00000072042	3125	0	-0.0331832763148396
ENSG00000072110	3125	0	-0.0331832763148396
ENSG00000072210	3125	0	-0.0331832763148396
ENSG00000072274	3125	0	-0.0331832763148396
ENSG00000072364	3125	0	-0.0331832763148396
ENSG00000072778	3125	0	-0.0331832763148396
ENSG00000072786	3125	0	-0.0331832763148396
ENSG00000072849	3125	0	-0.0331832763148396
ENSG00000073111	3125	0	-0.0331832763148396
ENSG00000073578	3125	0	-0.0331832763148396
ENSG00000073584	3125	0	-0.0331832763148396
ENSG00000073614	3125	0	-0.0331832763148396
ENSG00000073849	3125	0	-0.0331832763148396
ENSG00000074071	3125	0	-0.0331832763148396
ENSG00000074201	3125	0	-0.0331832763148396
ENSG00000074319	3125	0	-0.0331832763148396
ENSG00000074356	3125	0	-0.0331832763148396
ENSG00000074416	3125	0	-0.0331832763148396
ENSG00000074695	3125	0	-0.0331832763148396
ENSG00000074696	3125	0	-0.0331832763148396
ENSG00000074800	3125	0	-0.0331832763148396
ENSG00000074842	3125	0	-0.0331832763148396
ENSG00000075089	3125	0	-0.0331832763148396
ENSG00000075131	3125	0	-0.0331832763148396
ENSG00000075142	3125	0	-0.0331832763148396
ENSG00000075292	3125	0	-0.0331832763148396
ENSG00000075413	3125	0	-0.0331832763148396
ENSG00000075415	3125	0	-0.0331832763148396
ENSG00000075618	3125	0	-0.0331832763148396
ENSG00000075624	3125	0	-0.0331832763148396
ENSG00000075785	3125	0	-0.0331832763148396
ENSG00000075856	3125	0	-0.0331832763148396
ENSG00000075914	3125	0	-0.0331832763148396
ENSG00000076003	3125	0	-0.0331832763148396
ENSG00000076043	3125	0	-0.0331832763148396
ENSG00000076053	3125	0	-0.0331832763148396
ENSG00000076108	3125	0	-0.0331832763148396
ENSG00000076248	3125	0	-0.0331832763148396
ENSG00000076382	3125	0	-0.0331832763148396
ENSG00000076554	3125	0	-0.0331832763148396
ENSG00000076604	3125	0	-0.0331832763148396
ENSG00000077147	3125	0	-0.0331832763148396
ENSG00000077152	3125	0	-0.0331832763148396
ENSG00000077235	3125	0	-0.0331832763148396
ENSG00000077312	3125	0	-0.0331832763148396
ENSG00000077348	3125	0	-0.0331832763148396
ENSG00000077380	3125	0	-0.0331832763148396
ENSG00000077549	3125	0	-0.0331832763148396
ENSG00000077684	3125	0	-0.0331832763148396
ENSG00000077782	3125	0	-0.0331832763148396
ENSG00000077942	3125	0	-0.0331832763148396
ENSG00000078140	3125	0	-0.0331832763148396
ENSG00000078177	3125	0	-0.0331832763148396
ENSG00000078237	3125	0	-0.0331832763148396
ENSG00000078304	3125	0	-0.0331832763148396
ENSG00000078618	3125	0	-0.0331832763148396
ENSG00000078668	3125	0	-0.0331832763148396
ENSG00000078674	3125	0	-0.0331832763148396
ENSG00000078699	3125	0	-0.0331832763148396
ENSG00000079215	3125	0	-0.0331832763148396
ENSG00000079246	3125	0	-0.0331832763148396
ENSG00000079332	3125	0	-0.0331832763148396
ENSG00000079459	3125	0	-0.0331832763148396
ENSG00000079462	3125	0	-0.0331832763148396
ENSG00000079616	3125	0	-0.0331832763148396
ENSG00000079785	3125	0	-0.0331832763148396
ENSG00000079805	3125	0	-0.0331832763148396
ENSG00000079819	3125	0	-0.0331832763148396
ENSG00000079999	3125	0	-0.0331832763148396
ENSG00000080345	3125	0	-0.0331832763148396
ENSG00000080603	3125	0	-0.0331832763148396
ENSG00000080608	3125	0	-0.0331832763148396
ENSG00000080822	3125	0	-0.0331832763148396
ENSG00000080824	3125	0	-0.0331832763148396
ENSG00000081154	3125	0	-0.0331832763148396
ENSG00000082153	3125	0	-0.0331832763148396
ENSG00000082515	3125	0	-0.0331832763148396
ENSG00000082516	3125	0	-0.0331832763148396
ENSG00000082781	3125	0	-0.0331832763148396
ENSG00000082898	3125	0	-0.0331832763148396
ENSG00000083312	3125	0	-0.0331832763148396
ENSG00000083845	3125	0	-0.0331832763148396
ENSG00000083937	3125	0	-0.0331832763148396
ENSG00000084072	3125	0	-0.0331832763148396
ENSG00000084073	3125	0.05	-0.0331832763148396
ENSG00000084090	3125	0	-0.0331832763148396
ENSG00000084092	3125	0	-0.0331832763148396
ENSG00000084093	3125	0	-0.0331832763148396
ENSG00000084207	3125	0	-0.0331832763148396
ENSG00000084234	3125	0	-0.0331832763148396
ENSG00000084463	3125	0	-0.0331832763148396
ENSG00000084623	3125	0	-0.0331832763148396
ENSG00000084652	3125	0	-0.0331832763148396
ENSG00000084676	3125	0	-0.0331832763148396
ENSG00000084733	3125	0	-0.0331832763148396
ENSG00000084754	3125	0	-0.0331832763148396
ENSG00000084774	3125	0	-0.0331832763148396
ENSG00000085365	3125	0	-0.0331832763148396
ENSG00000085415	3125	0	-0.0331832763148396
ENSG00000085733	3125	0	-0.0331832763148396
ENSG00000085760	3125	0	-0.0331832763148396
ENSG00000085840	3125	0	-0.0331832763148396
ENSG00000086061	3125	0	-0.0331832763148396
ENSG00000086062	3125	0	-0.0331832763148396
ENSG00000086065	3125	0	-0.0331832763148396
ENSG00000086189	3125	0	-0.0331832763148396
ENSG00000086200	3125	0	-0.0331832763148396
ENSG00000086475	3125	0	-0.0331832763148396
ENSG00000086504	3125	0	-0.0331832763148396
ENSG00000086589	3125	0	-0.0331832763148396
ENSG00000086598	3125	0	-0.0331832763148396
ENSG00000086666	3125	0	-0.0331832763148396
ENSG00000087074	3125	0	-0.0331832763148396
ENSG00000087086	3125	0	-0.0331832763148396
ENSG00000087087	3125	0	-0.0331832763148396
ENSG00000087191	3125	0	-0.0331832763148396
ENSG00000087263	3125	0	-0.0331832763148396
ENSG00000087274	3125	0	-0.0331832763148396
ENSG00000087302	3125	0	-0.0331832763148396
ENSG00000087365	3125	0	-0.0331832763148396
ENSG00000087460	3125	0	-0.0331832763148396
ENSG00000087470	3125	0	-0.0331832763148396
ENSG00000087502	3125	0	-0.0331832763148396
ENSG00000087510	3125	0	-0.0331832763148396
ENSG00000087586	3125	0	-0.0331832763148396
ENSG00000087995	3125	0	-0.0331832763148396
ENSG00000088205	3125	0	-0.0331832763148396
ENSG00000088247	3125	0	-0.0331832763148396
ENSG00000088305	3125	0	-0.0331832763148396
ENSG00000088325	3125	0	-0.0331832763148396
ENSG00000088356	3125	0	-0.0331832763148396
ENSG00000088448	3125	0	-0.0331832763148396
ENSG00000088832	3125	0	-0.0331832763148396
ENSG00000088833	3125	0	-0.0331832763148396
ENSG00000088930	3125	0	-0.0331832763148396
ENSG00000088986	3125	0	-0.0331832763148396
ENSG00000089006	3125	0	-0.0331832763148396
ENSG00000089009	3125	0	-0.0331832763148396
ENSG00000089048	3125	0	-0.0331832763148396
ENSG00000089053	3125	0	-0.0331832763148396
ENSG00000089057	3125	0	-0.0331832763148396
ENSG00000089063	3125	0	-0.0331832763148396
ENSG00000089154	3125	0	-0.0331832763148396
ENSG00000089157	3125	0	-0.0331832763148396
ENSG00000089159	3125	0	-0.0331832763148396
ENSG00000089195	3125	0	-0.0331832763148396
ENSG00000089220	3125	0	-0.0331832763148396
ENSG00000089234	3125	0	-0.0331832763148396
ENSG00000089248	3125	0	-0.0331832763148396
ENSG00000089280	3125	0	-0.0331832763148396
ENSG00000089327	3125	0	-0.0331832763148396
ENSG00000089597	3125	0	-0.0331832763148396
ENSG00000089685	3125	0	-0.0331832763148396
ENSG00000089693	3125	0	-0.0331832763148396
ENSG00000090054	3125	0	-0.0331832763148396
ENSG00000090060	3125	0	-0.0331832763148396
ENSG00000090263	3125	0	-0.0331832763148396
ENSG00000090266	3125	0	-0.0331832763148396
ENSG00000090273	3125	0	-0.0331832763148396
ENSG00000090316	3125	0	-0.0331832763148396
ENSG00000090520	3125	0	-0.0331832763148396
ENSG00000090615	3125	0	-0.0331832763148396
ENSG00000090621	3125	0	-0.0331832763148396
ENSG00000090686	3125	0	-0.0331832763148396
ENSG00000090861	3125	0	-0.0331832763148396
ENSG00000090863	3125	0	-0.0331832763148396
ENSG00000091039	3125	0	-0.0331832763148396
ENSG00000091136	3125	0	-0.0331832763148396
ENSG00000091140	3125	0	-0.0331832763148396
ENSG00000091164	3125	0	-0.0331832763148396
ENSG00000091317	3125	0	-0.0331832763148396
ENSG00000091409	3125	0	-0.0331832763148396
ENSG00000091483	3125	0	-0.0331832763148396
ENSG00000091527	3125	0	-0.0331832763148396
ENSG00000091542	3125	0	-0.0331832763148396
ENSG00000091651	3125	0	-0.0331832763148396
ENSG00000092068	3125	0	-0.0331832763148396
ENSG00000092094	3125	0	-0.0331832763148396
ENSG00000092148	3125	0	-0.0331832763148396
ENSG00000092199	3125	0	-0.0331832763148396
ENSG00000092201	3125	0	-0.0331832763148396
ENSG00000092203	3125	0	-0.0331832763148396
ENSG00000092208	3125	0	-0.0331832763148396
ENSG00000092421	3125	0	-0.0331832763148396
ENSG00000092445	3125	0	-0.0331832763148396
ENSG00000092531	3125	0	-0.0331832763148396
ENSG00000092621	3125	0.05	-0.0331832763148396
ENSG00000092820	3125	0	-0.0331832763148396
ENSG00000092841	3125	0	-0.0331832763148396
ENSG00000092853	3125	0	-0.0331832763148396
ENSG00000093000	3125	0	-0.0331832763148396
ENSG00000093009	3125	0	-0.0331832763148396
ENSG00000094755	3125	0	-0.0331832763148396
ENSG00000094804	3125	0	-0.0331832763148396
ENSG00000094880	3125	0	-0.0331832763148396
ENSG00000095002	3125	0	-0.0331832763148396
ENSG00000095139	3125	0	-0.0331832763148396
ENSG00000095319	3125	0	-0.0331832763148396
ENSG00000095380	3125	0	-0.0331832763148396
ENSG00000095485	3125	0	-0.0331832763148396
ENSG00000095787	3125	0	-0.0331832763148396
ENSG00000095906	3125	0	-0.0331832763148396
ENSG00000096063	3125	0	-0.0331832763148396
ENSG00000096080	3125	0	-0.0331832763148396
ENSG00000096384	3125	0	-0.0331832763148396
ENSG00000096401	3125	0	-0.0331832763148396
ENSG00000096696	3125	0	-0.0331832763148396
ENSG00000096746	3125	0	-0.0331832763148396
ENSG00000097021	3125	0	-0.0331832763148396
ENSG00000099139	3125	0	-0.0331832763148396
ENSG00000099194	3125	0	-0.0331832763148396
ENSG00000099203	3125	0	-0.0331832763148396
ENSG00000099246	3125	0.05	-0.0331832763148396
ENSG00000099290	3125	0	-0.0331832763148396
