ngenes	zeros	residual
ENSG00000009844	2993	0	0.104684696462877
ENSG00000009954	2993	0	0.104684696462877
ENSG00000010165	2993	0.0268456375838926	0.104684696462877
ENSG00000010244	2993	0	0.104684696462877
ENSG00000010256	2993	0	0.104684696462877
ENSG00000010278	2993	0.00671140939597315	0.104684696462877
ENSG00000010292	2993	0	0.104684696462877
ENSG00000011007	2993	0	0.104684696462877
ENSG00000011009	2993	0.0536912751677852	0.104684696462877
ENSG00000011052	2993	0.0201342281879195	0.104684696462877
ENSG00000011260	2993	0	0.104684696462877
ENSG00000011275	2993	0.00671140939597315	0.104684696462877
ENSG00000011304	2993	0	0.104684696462877
ENSG00000011426	2993	0	0.104684696462877
ENSG00000013275	2993	0	0.104684696462877
ENSG00000013306	2993	0	0.104684696462877
ENSG00000013375	2993	0.0335570469798658	0.104684696462877
ENSG00000013561	2993	0.0134228187919463	0.104684696462877
ENSG00000013588	2993	0	0.104684696462877
ENSG00000013810	2993	0	0.104684696462877
ENSG00000014641	2993	0	0.104684696462877
ENSG00000014919	2993	0.0134228187919463	0.104684696462877
ENSG00000015479	2993	0	0.104684696462877
ENSG00000017797	2993	0	0.104684696462877
ENSG00000018408	2993	0.00671140939597315	0.104684696462877
ENSG00000021776	2993	0.0201342281879195	0.104684696462877
ENSG00000022277	2993	0.00671140939597315	0.104684696462877
ENSG00000022556	2993	0	0.104684696462877
ENSG00000022840	2993	0	0.104684696462877
ENSG00000023191	2993	0	0.104684696462877
ENSG00000023228	2993	0	0.104684696462877
ENSG00000023287	2993	0	0.104684696462877
ENSG00000023318	2993	0.00671140939597315	0.104684696462877
ENSG00000023330	2993	0.00671140939597315	0.104684696462877
ENSG00000023697	2993	0.0335570469798658	0.104684696462877
ENSG00000023734	2993	0	0.104684696462877
ENSG00000025770	2993	0.00671140939597315	0.104684696462877
ENSG00000025772	2993	0.0805369127516778	0.104684696462877
ENSG00000025796	2993	0	0.104684696462877
ENSG00000025800	2993	0	0.104684696462877
ENSG00000028116	2993	0	0.104684696462877
ENSG00000028839	2993	0.0134228187919463	0.104684696462877
ENSG00000029363	2993	0	0.104684696462877
ENSG00000029364	2993	0.0402684563758389	0.104684696462877
ENSG00000030066	2993	0	0.104684696462877
ENSG00000030110	2993	0.0469798657718121	0.104684696462877
ENSG00000030582	2993	0.0201342281879195	0.104684696462877
ENSG00000031698	2993	0	0.104684696462877
ENSG00000033011	2993	0.0402684563758389	0.104684696462877
ENSG00000033050	2993	0	0.104684696462877
ENSG00000033170	2993	0	0.104684696462877
ENSG00000033800	2993	0.0134228187919463	0.104684696462877
ENSG00000034510	2993	0	0.104684696462877
ENSG00000034713	2993	0.00671140939597315	0.104684696462877
ENSG00000035141	2993	0	0.104684696462877
ENSG00000036054	2993	0.0134228187919463	0.104684696462877
ENSG00000037241	2993	0.00671140939597315	0.104684696462877
ENSG00000037474	2993	0	0.104684696462877
ENSG00000037897	2993	0.0134228187919463	0.104684696462877
ENSG00000039068	2993	0	0.104684696462877
ENSG00000039123	2993	0.00671140939597315	0.104684696462877
ENSG00000041357	2993	0	0.104684696462877
ENSG00000041802	2993	0.0201342281879195	0.104684696462877
ENSG00000042753	2993	0	0.104684696462877
ENSG00000044115	2993	0	0.104684696462877
